NUM_ANP,ID_ANP,ID_DOF,NOMBRE,CAT_MANEJO,ESTADOS,REGION,SUPERFICIE,S_TERRES,S_MARINA,PRIM_DEC,ULT_DOF,PM,CERT_SINAP
165,ANP00907165,9.7.05.165,Manglares de Nichupté,APFF,Quintana Roo,Península de Yucatán y Caribe Mexicano,4257.49854000000,4257.49854000000,0.00000000000,2008/02/26,2008/02/26,2015/01/22,
60,ANP00401060,4.1.01.060,Mapimí,RB,"Durango, Chihuahua y Coahuila",Noreste y Sierra Madre Oriental,342387.99170000001,342387.99170000001,0.00000000000,1979/07/19,2000/11/27,2006/10/24,SINAP 027
175,ANP00501175,5.1.05.175,Marismas Nacionales Nayarit,RB,Nayarit,Occidente y Pacífico Centro,133854.39069999999,133854.39069999999,0.00000000000,2010/05/12,2010/05/12,2013/04/03,SINAP 073
145,ANP00207145,2.7.04.145,Meseta de Cacaxtla,APFF,Sinaloa,Noroeste y Alto Golfo de California,50862.31250000000,50862.31250000000,0.00000000000,2000/11/27,2000/11/27,2015/10/29,
21,ANP00603021,6.3.12.021,Molino de Flores Netzahualcóyotl,PN,Estado de México,Centro y Eje Neovolcánico,45.66212400000,45.66212400000,0.00000000000,1937/11/05,1937/11/05,,
56,ANP00801056,8.1.01.056,Montes Azules,RB,Chiapas,"Frontera Sur, Istmo y Pacífico Sur",331200.00000000000,331200.00000000000,0.00000000000,1978/01/12,2000/06/07,2000/11/16,SINAP 005
136,ANP00807136,8.7.03.136,Nahá,APFF,Chiapas,"Frontera Sur, Istmo y Pacífico Sur",3847.41595000000,3847.41595000000,0.00000000000,1998/09/23,1998/09/23,2009/01/07,
168,ANP00407168,4.7.06.168,Ocampo,APFF,Coahuila,Noreste y Sierra Madre Oriental,344238.23330000002,344238.23330000002,0.00000000000,2009/06/05,2009/06/05,2015/06/05,SINAP 060
151,ANP00907151,9.7.03.151,Otoch Ma'ax Yetel Kooh,APFF,Quintana Roo,Península de Yucatán y Caribe Mexicano,5367.42350000000,5367.42350000000,0.00000000000,2002/06/05,2003/07/29,2009/11/06,
71,ANP00803071,8.3.05.071,Palenque,PN,Chiapas,"Frontera Sur, Istmo y Pacífico Sur",1771.95012200000,1771.95012200000,0.00000000000,1981/07/20,1981/07/20,,
35,ANP00307035,3.7.03.035,Papigochic,APFF,Chihuahua,Norte y Sierra Madre Occidental,222763.85360000000,222763.85360000000,0.00000000000,1939/03/11,2003/01/29,2017/05/22,
14,ANP00703014,7.3.01.014,Pico de Orizaba,PN,Veracruz y Puebla,Planicie Costera y Golfo de México,19750.00500000000,19750.00500000000,0.00000000000,1937/01/04,1937/01/04,2015/07/09,
40,ANP00507040,5.7.01.040,Pico de Tancítaro,APFF,Michoacán,Occidente y Pacífico Centro,23405.92096000000,23405.92096000000,0.00000000000,1940/07/27,2009/08/19,2013/04/02,
50,ANP00503050,5.3.06.050,Rayón,PN,Michoacán,Occidente y Pacífico Centro,25.21070000000,25.21070000000,0.00000000000,1952/08/29,1954/05/08,,
